dataset,lmbda,cluster_option,L,convergence_iter,optimum,time,seed,energy_list_file
Synthetic,10,ncut,0.1,1025,-0.41472388397574167,1.0532704000000024,2,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.1__lmb=10__seed=2.txt
Synthetic,10,ncut,0.1,626,-0.9456591994678998,0.7232666000000023,3,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.1__lmb=10__seed=3.txt
Synthetic,10,ncut,0.1,1025,-0.41472388397574167,0.8973787999999985,4,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.1__lmb=10__seed=4.txt
Synthetic,10,ncut,0.1,577,-1.0387563665501354,0.5747648999999981,5,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.1__lmb=10__seed=5.txt
Synthetic,10,ncut,0.1,627,-0.9546952346680453,0.5805123000000023,6,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.1__lmb=10__seed=6.txt
Synthetic,10,ncut,0.1,292,-1.7007952541620037,0.4139837999999969,7,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.1__lmb=10__seed=7.txt
Synthetic,10,ncut,0.1,114,-1.9997468009994963,0.3181647000000041,8,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.1__lmb=10__seed=8.txt
Synthetic,10,ncut,0.1,310,-1.6350717624073425,0.424392399999995,9,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.1__lmb=10__seed=9.txt
Synthetic,10,ncut,0.1,746,-0.7663699843685268,0.7158525999999981,10,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.1__lmb=10__seed=10.txt
Synthetic,10,kmedian,1.0,83,290.97221802718906,0.3266155000000026,1,Synthetic\Lipschitz_energy_list_logs\kmedian__L=1.0__lmb=10__seed=1.txt
Synthetic,10,kmedian,1.0,49,299.0411005725548,0.2999050999999966,2,Synthetic\Lipschitz_energy_list_logs\kmedian__L=1.0__lmb=10__seed=2.txt
Synthetic,10,kmedian,1.0,84,294.04878126181825,0.34525440000000174,3,Synthetic\Lipschitz_energy_list_logs\kmedian__L=1.0__lmb=10__seed=3.txt
Synthetic,10,kmedian,1.0,50,297.4928883044911,0.286088399999997,4,Synthetic\Lipschitz_energy_list_logs\kmedian__L=1.0__lmb=10__seed=4.txt
Synthetic,10,kmedian,1.0,85,288.8820522521377,0.3273310000000009,5,Synthetic\Lipschitz_energy_list_logs\kmedian__L=1.0__lmb=10__seed=5.txt
Synthetic,10,kmedian,1.0,85,289.04903745309696,0.3364086999999998,6,Synthetic\Lipschitz_energy_list_logs\kmedian__L=1.0__lmb=10__seed=6.txt
Synthetic,10,kmedian,1.0,73,290.4261529121413,0.4674281999999934,7,Synthetic\Lipschitz_energy_list_logs\kmedian__L=1.0__lmb=10__seed=7.txt
